scene,view,none,inpaint_pred,inpaint_err,none_mask,inpaint_pred_mask,inpaint_err_mask
104,4,24.575814298205934,24.06121559017914,24.731019624676314,23.192730581338576,23.02633036674421,23.542350161127715
104,5,25.397303238462385,24.609047841950968,25.377445712146283,23.939553018546114,23.816564563762448,23.696614665647708
104,6,26.450823089502094,25.72111705489708,26.18966213534346,24.742085179715495,24.6063694760101,24.328454429631364
104,7,24.513542575847875,23.991541784199768,24.50232327053447,27.421935842571955,26.78700318147441,27.521482690115896
104,8,23.176847333118605,22.83009397767936,23.399816448291446,26.758877995205424,26.192364842078717,26.9021076510349
104,9,22.20726819380904,21.85518483165727,22.64571919315145,26.221432574046727,25.73151459806926,26.344436848199653
104,10,21.50163543213988,21.365372504815646,22.08632679378423,25.721705643298595,25.23051146607758,26.066068070774886
104,11,21.043034558767562,20.943350103692957,21.67406865137066,25.22051785047988,24.663140451389403,25.754885490050974
104,12,20.637442931240905,20.627176693325904,21.31217909836671,24.600262566524833,24.095226435686612,25.23048111902
104,13,20.359262277744325,20.426854532223743,21.090668252793932,20.359262277744325,20.426854532223743,21.090668252793932
105,0,24.544773418802283,23.993978099165112,25.617152253153478,23.363777212953487,23.202822961050998,23.824378361181697
105,1,25.22971812880943,25.092813521573873,26.396355035434233,24.07205139174595,23.757177676481508,24.30964232844412
105,2,26.142933503662036,25.659000580814183,27.184177729973218,24.703651089349616,24.394853792216153,24.617227250539596
105,3,27.234549929840746,27.134498607005302,28.12099018069346,25.38224253394144,25.099298789326134,25.45439808389409
105,4,28.66473510065307,28.321404403361974,29.484783287223678,26.325754636506026,26.150299200944755,26.305703573726188
105,5,30.55956083826016,29.748251138416677,31.077968708912998,27.51166127438815,27.141123462555775,27.295010705883826
105,6,32.99024003288967,31.846309696513217,33.27040840158832,29.094844863178217,28.690919555670153,28.812714890129097
105,7,32.99697226340601,30.11274594840156,33.513494193874564,29.57643776028131,29.296956166315873,29.772253053728686
105,8,30.199140503806767,28.425718020246705,31.16932949088401,27.805254648250756,27.624217668299508,28.185661153795433
105,9,28.41152094799468,27.41989558705653,29.61574506998629,26.828988271295696,26.71563354165618,27.28710174853248
105,10,27.13319721364524,26.450212200492924,28.420818712347156,25.911222522297663,25.79700128053098,26.31534459860007
105,11,26.121668608648946,25.922784218740404,27.522924393696798,25.334807408598756,25.11128134699549,25.746966518109886
105,12,25.212811689075004,25.151336863234373,26.658174470505994,24.595100939284112,24.409163022880563,24.97881269376063
105,13,24.358195132538,24.63718321231751,25.72105514260137,24.358195132538,24.63718321231751,25.72105514260137
106,0,24.66898921359097,27.099338737804615,29.417645917991955,28.033746602863477,27.53170954656492,28.99528172511119
106,1,25.219722636610513,28.14166950025452,30.03730235994081,28.72716184109948,28.135304366187697,29.55575541503455
106,2,27.580588241664792,29.306424370519988,30.655835817908134,29.538183026831476,28.811160796833594,30.28731971598107
106,3,28.9092571333028,29.990342232025817,31.38716329485591,30.397893075461685,29.789690657168954,30.996782174411116
106,4,30.744409760555953,31.23653450085817,32.37740482084495,31.320889140444926,30.607357996897765,31.87222977151757
106,5,32.68670881707051,32.333975826079836,33.631248471813024,32.331760661215746,31.625011874276538,32.787190881379544
106,6,35.859382925591454,34.21894111056525,36.210719532270026,33.972969806070125,32.88593036785482,34.22848938570094
106,7,35.3997540492525,34.55715526216389,35.82464875611773,34.446767278223376,32.74761327083834,35.005837669312896
